no,nama_barang,kategori,kode_barang
1,Aset,Aset,1.0.0.00.00.00.000
2,ASET TETAP,ASET TETAP,1.3.0.00.00.00.000
3,TANAH,TANAH,1.3.1.00.00.00.000
4,TANAH,TANAH,1.3.1.01.00.00.000
5,TANAH PERSIL,TANAH,1.3.1.01.01.00.000
6,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL,TANAH,1.3.1.01.01.01.000
7,Tanah Bangunan Rumah Negara Golongan I,TANAH,1.3.1.01.01.01.001
8,Tanah Bangunan Rumah Negara Golongan II,TANAH,1.3.1.01.01.01.002
9,Tanah Bangunan Rumah Negara Golongan III,TANAH,1.3.1.01.01.01.003
10,Tanah Bangunan Rumah Negara Tanpa Golongan,TANAH,1.3.1.01.01.01.004
11,Tanah Bangunan Mess/Wisma/Asrama,TANAH,1.3.1.01.01.01.005
12,Tanah Bangunan Peristirahatan/Bungalaow/Cottage,TANAH,1.3.1.01.01.01.006
13,Tanah Bangunan Rumah Penjaga,TANAH,1.3.1.01.01.01.007
14,Tanah Bangunan Rumah LP,TANAH,1.3.1.01.01.01.008
15,Tanah Bangunan Rumah Tahanan/Rutan,TANAH,1.3.1.01.01.01.009
16,Tanah Bangunan Flat/Rumah Susun,TANAH,1.3.1.01.01.01.010
17,Tanah Kaveling Tanah Matang,TANAH,1.3.1.01.01.01.011
18,Tanah Kaveling (dst),TANAH,1.3.1.01.01.01.012
19,TANAH UNTUK BANGUNAN GED.PERDAGANGAN/PERUSAHAAN,TANAH,1.3.1.01.01.02.000
20,Tanah Bangunan Pasar,TANAH,1.3.1.01.01.02.001
21,Tanah Bangunan Pertokoan/Rumah Toko/Koperasi,TANAH,1.3.1.01.01.02.002
22,Tanah Bangunan Gudang,TANAH,1.3.1.01.01.02.003
23,Tanah Bangunan Stasiun Kereta Api,TANAH,1.3.1.01.01.02.004
24,Tanah Bangunan Bioskop,TANAH,1.3.1.01.01.02.005
25,Tanah Bangunan Hotel/Penginapan/Motel,TANAH,1.3.1.01.01.02.006
26,Tanah Bangunan Terminal Darat,TANAH,1.3.1.01.01.02.007
27,Tanah Bangunan Terminal Laut,TANAH,1.3.1.01.01.02.008
28,Tanah Bangunan Terminal Udara,TANAH,1.3.1.01.01.02.009
29,Tanah Bangunan Gedung Kesenian,TANAH,1.3.1.01.01.02.010
30,Tanah Bangunan Gedung Pameran,TANAH,1.3.1.01.01.02.011
31,Tanah Bangunan Gedung Pusat Perbelanjaan,TANAH,1.3.1.01.01.02.012
32,Tanah Bangunan Apotik,TANAH,1.3.1.01.01.02.013
33,Tanah Bangunan Garasi/Pool,TANAH,1.3.1.01.01.02.014
34,Tanah Bangunan Perdagangan lainnya (dst),TANAH,1.3.1.01.01.02.015
35,TANAH UNTUK BANGUNAN INDUSTRI,TANAH,1.3.1.01.01.03.000
36,Tanah Bangunan Industri Makanan,TANAH,1.3.1.01.01.03.001
