No,nama_barang,kode_barang,golongan,bidang,kelompok,sub_kelompok,rincian_objek
1,Tanah Bangunan Rumah Negara Golongan I,1.3.1.01.01.01.001,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL
2,Tanah Bangunan Rumah Negara Golongan II,1.3.1.01.01.01.002,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL
3,Tanah Bangunan Rumah Negara Golongan III,1.3.1.01.01.01.003,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL
4,Tanah Bangunan Rumah Negara Tanpa Golongan,1.3.1.01.01.01.004,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL
5,Tanah Bangunan Mess/Wisma/Asrama,1.3.1.01.01.01.005,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL
6,Tanah Bangunan Peristirahatan/Bungalaow/Cottage,1.3.1.01.01.01.006,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL
7,Tanah Bangunan Rumah Penjaga,1.3.1.01.01.01.007,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL
8,Tanah Bangunan Rumah LP,1.3.1.01.01.01.008,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL
9,Tanah Bangunan Rumah Tahanan/Rutan,1.3.1.01.01.01.009,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL
10,Tanah Bangunan Flat/Rumah Susun,1.3.1.01.01.01.010,ASET TETAP,TANAH,TANAH,TANAH PERSIL,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL
